day,average_trip_distance,total_fare_amount,trip_count,peak_hour
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498193,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498193,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999999,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999999,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999999,2499,16
2022-06-13,191.89363745498193,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999999,2499,16
2022-06-13,191.89363745498196,37328.64999999999,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999999,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-13,191.89363745498196,37328.64999999998,2499,16
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.5001339109886,39386.57999999999,2539,17
2022-06-14,69.50013391098858,39386.57999999999,2539,17
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.2988884879105,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999999,2771,15
2022-06-15,37.2988884879105,43465.51999999999,2771,15
2022-06-15,37.298888487910496,43465.51999999998,2771,15
